%alpha	Cl	Cd	Cm
0	0.20761331	0.007826015	0.041270671
4	0.664325875	0.008453355	0.049474267
6	0.889856569	0.010131235	0.052049096
10	1.266620769	0.017175145	0.051015404
12	1.412185886	0.02221773	0.047236618
14	1.426259323	0.034326098	0.038710783
16	1.430906483	0.050240928	0.034507753
18	1.423987378	0.069631814	0.034456494
