%alpha	Cl	Cd	Cm
2	0.57254902	0.012734221	0.082059798
5	0.907843137	0.014527175	0.086790325
8	1.229411765	0.018459621	0.089060085
10.5	1.496078431	0.024338429	0.092082354
13	1.611764706	0.035768683	0.087192494
15	1.556862745	0.053631109	0.082015405
17	1.51372549	0.075767724	0.07937251
20.3	1.490196078	0.114515533	0.086784806
